Row Labels,Count of Crash ID,Month
1989,55,1
1989,82,2
1989,82,3
1989,45,4
1989,77,5
1989,97,6
1989,75,7
1989,64,8
1989,93,9
1989,96,10
1989,69,11
1989,124,12
1990,52,1
1990,52,2
1990,87,3
1990,57,4
1990,59,5
1990,70,6
1990,83,7
1990,66,8
1990,80,9
1990,62,10
1990,55,11
1990,74,12
1991,61,1
1991,47,2
1991,52,3
1991,59,4
1991,55,5
1991,52,6
1991,61,7
1991,55,8
1991,59,9
1991,57,10
1991,49,11
1991,56,12
1992,55,1
1992,56,2
1992,56,3
1992,47,4
1992,41,5
1992,59,6
1992,53,7
1992,65,8
1992,50,9
1992,62,10
1992,55,11
1992,50,12
1993,44,1
1993,31,2
1993,56,3
1993,51,4
1993,37,5
1993,42,6
1993,42,7
1993,59,8
1993,42,9
1993,59,10
1993,55,11
1993,63,12
1994,56,1
1994,41,2
1994,65,3
1994,53,4
1994,51,5
1994,42,6
1994,52,7
1994,38,8
1994,43,9
1994,73,10
1994,69,11
1994,63,12
1995,38,1
1995,50,2
1995,61,3
1995,46,4
1995,48,5
1995,57,6
1995,51,7
1995,53,8
1995,41,9
1995,60,10
1995,59,11
1995,56,12
1996,23,1
1996,49,2
1996,49,3
1996,62,4
1996,48,5
1996,56,6
1996,50,7
1996,52,8
1996,43,9
1996,52,10
1996,47,11
1996,50,12
1997,69,1
1997,44,2
1997,39,3
1997,42,4
1997,58,5
1997,38,6
1997,53,7
1997,47,8
1997,35,9
1997,47,10
1997,62,11
1997,42,12
1998,47,1
1998,39,2
1998,61,3
1998,43,4
1998,58,5
1998,51,6
1998,36,7
1998,51,8
1998,37,9
1998,47,10
1998,31,11
1998,55,12
1999,52,1
1999,41,2
1999,61,3
1999,47,4
1999,60,5
1999,40,6
1999,39,7
1999,44,8
1999,52,9
1999,43,10
1999,48,11
1999,50,12
2000,50,1
2000,52,2
2000,48,3
2000,55,4
2000,53,5
2000,48,6
2000,58,7
2000,33,8
2000,50,9
2000,39,10
2000,49,11
2000,68,12
2001,38,1
2001,39,2
2001,42,3
2001,42,4
2001,56,5
2001,35,6
2001,44,7
2001,51,8
2001,35,9
2001,46,10
2001,46,11
2001,50,12
2002,39,1
2002,45,2
2002,50,3
2002,46,4
2002,56,5
2002,57,6
2002,35,7
2002,51,8
2002,50,9
2002,45,10
2002,43,11
2002,44,12
2003,42,1
2003,40,2
2003,49,3
2003,47,4
2003,42,5
2003,32,6
2003,35,7
2003,51,8
2003,40,9
2003,57,10
2003,52,11
2003,52,12
2004,52,1
2004,44,2
2004,48,3
2004,34,4
2004,39,5
2004,41,6
2004,44,7
2004,43,8
2004,35,9
2004,43,10
2004,47,11
2004,40,12
2005,35,1
2005,38,2
2005,37,3
2005,45,4
2005,56,5
2005,40,6
2005,50,7
2005,40,8
2005,44,9
2005,40,10
2005,37,11
2005,46,12
2006,57,1
2006,39,2
2006,54,3
2006,49,4
2006,37,5
2006,43,6
2006,34,7
2006,34,8
2006,33,9
2006,42,10
2006,38,11
2006,36,12
2007,34,1
2007,30,2
2007,42,3
2007,47,4
2007,31,5
2007,41,6
2007,41,7
2007,30,8
2007,32,9
2007,33,10
2007,37,11
2007,37,12
2008,28,1
2008,29,2
2008,29,3
2008,26,4
2008,24,5
2008,30,6
2008,34,7
2008,35,8
2008,33,9
2008,39,10
2008,31,11
2008,36,12
2009,26,1
2009,34,2
2009,39,3
2009,55,4
2009,36,5
2009,35,6
2009,27,7
2009,49,8
2009,42,9
2009,45,10
2009,30,11
2009,36,12
2010,43,1
2010,34,2
2010,26,3
2010,43,4
2010,37,5
2010,33,6
2010,23,7
2010,27,8
2010,37,9
2010,39,10
2010,38,11
2010,25,12
2011,28,1
2011,30,2
2011,31,3
2011,25,4
2011,25,5
2011,27,6
2011,29,7
2011,38,8
2011,29,9
2011,23,10
2011,39,11
2011,40,12
2012,32,1
2012,25,2
2012,33,3
2012,33,4
2012,31,5
2012,34,6
2012,24,7
2012,36,8
2012,30,9
2012,28,10
2012,35,11
2012,28,12
2013,15,1
2013,33,2
2013,30,3
2013,26,4
2013,24,5
2013,32,6
2013,26,7
2013,33,8
2013,15,9
2013,37,10
2013,34,11
2013,28,12
2014,34,1
2014,29,2
2014,26,3
2014,20,4
2014,30,5
2014,25,6
2014,19,7
2014,27,8
2014,24,9
2014,26,10
2014,29,11
2014,18,12
2015,37,1
2015,16,2
2015,24,3
2015,24,4
2015,35,5
2015,25,6
2015,31,7
2015,40,8
2015,26,9
2015,32,10
2015,32,11
2015,28,12
2016,25,1
2016,32,2
2016,32,3
2016,44,4
2016,31,5
2016,34,6
2016,30,7
2016,36,8
2016,32,9
2016,31,10
2016,25,11
2016,28,12
2017,30,1
2017,18,2
2017,28,3
2017,31,4
2017,35,5
2017,31,6
2017,40,7
2017,41,8
2017,29,9
2017,28,10
2017,38,11
2017,40,12
2018,37,1
2018,32,2
2018,24,3
2018,31,4
2018,25,5
2018,21,6
2018,31,7
2018,38,8
2018,34,9
2018,21,10
2018,25,11
2018,28,12
2019,38,1
2019,28,2
2019,41,3
2019,28,4
2019,20,5
2019,26,6
2019,23,7
2019,31,8
2019,33,9
2019,29,10
2019,27,11
2019,29,12
2020,23,1
2020,30,2
2020,24,3
2020,23,4
2020,20,5
2020,22,6
2020,24,7
2020,26,8
2020,29,9
2020,17,10
2020,24,11
2020,22,12
2021,24,1
2021,26,2
2021,20,3
2021,25,4
2021,21,5
2021,29,6
2021,18,7
2021,16,8
2021,16,9
2021,26,10
2021,22,11
2021,32,12
2022,28,1
2022,26,2
2022,28,3
2022,27,4
2022,21,5
2022,20,6
2022,12,7
2022,15,8
2022,33,9
2022,20,10
2022,24,11
2022,27,12
2023,20,1
2023,20,2
2023,34,3
2023,33,4
2023,22,5
2023,32,6
2023,34,7
2023,28,8
2023,33,9
2023,28,10
2023,34,11
2023,33,12
