,created_at,hour_created_at,is_charter,airline_code,api_fare,baggage,class,available_seat,flight_date_time
770,2023-11-15,13,0,18,165527970.0,25.0,16,1.0,2023-11-15 22:45:00
771,2023-11-15,13,0,18,165527970.0,25.0,16,2.0,2023-11-15 22:45:00
772,2023-11-15,13,0,18,165527970.0,25.0,16,3.0,2023-11-15 22:45:00
833,2023-11-15,13,0,18,246064580.0,25.0,16,1.0,2023-11-15 22:45:00
834,2023-11-15,13,0,18,246064580.0,25.0,16,2.0,2023-11-15 22:45:00
835,2023-11-15,13,0,18,246064580.0,25.0,16,3.0,2023-11-15 22:45:00
870,2023-11-15,13,0,18,499608375.0,40.0,10,2.0,2023-11-15 22:45:00
871,2023-11-15,13,0,18,501512765.0,40.0,10,1.0,2023-11-15 22:45:00
3381,2023-11-15,13,0,18,165527970.0,25.0,16,1.0,2023-11-15 22:45:00
3382,2023-11-15,13,0,18,165527970.0,25.0,16,2.0,2023-11-15 22:45:00
3383,2023-11-15,13,0,18,165527970.0,25.0,16,3.0,2023-11-15 22:45:00
3421,2023-11-15,13,0,18,246064580.0,25.0,16,1.0,2023-11-15 22:45:00
3422,2023-11-15,13,0,18,246064580.0,25.0,16,3.0,2023-11-15 22:45:00
3439,2023-11-15,13,0,18,499608375.0,40.0,10,2.0,2023-11-15 22:45:00
5187,2023-11-15,14,0,18,165527970.0,25.0,16,2.0,2023-11-15 22:45:00
5188,2023-11-15,14,0,18,165527970.0,25.0,16,3.0,2023-11-15 22:45:00
5190,2023-11-15,14,0,18,165527970.0,25.0,16,4.0,2023-11-15 22:45:00
5225,2023-11-15,14,0,18,195421170.0,30.0,21,1.0,2023-11-15 22:45:00
5254,2023-11-15,14,0,18,246064580.0,25.0,16,2.0,2023-11-15 22:45:00
5255,2023-11-15,14,0,18,246064580.0,25.0,16,3.0,2023-11-15 22:45:00
5289,2023-11-15,14,0,18,291108750.0,30.0,21,1.0,2023-11-15 22:45:00
5293,2023-11-15,14,0,18,499608375.0,40.0,10,2.0,2023-11-15 22:45:00
5294,2023-11-15,14,0,18,649906445.0,40.0,3,1.0,2023-11-15 22:45:00
5295,2023-11-15,14,0,18,684194019.4,35.0,9,6.0,2023-11-15 22:45:00
5296,2023-11-15,14,0,18,684194019.4,35.0,9,7.0,2023-11-15 22:45:00
5297,2023-11-15,14,0,18,686098409.4,35.0,9,6.0,2023-11-15 22:45:00
5298,2023-11-15,14,0,18,686098409.4,35.0,9,7.0,2023-11-15 22:45:00
7686,2023-11-15,14,0,18,165527970.0,25.0,16,2.0,2023-11-15 22:45:00
7722,2023-11-15,14,0,18,246064580.0,25.0,16,2.0,2023-11-15 22:45:00
7739,2023-11-15,14,0,18,499608375.0,40.0,10,2.0,2023-11-15 22:45:00
7740,2023-11-15,14,0,18,649906445.0,40.0,3,1.0,2023-11-15 22:45:00
7741,2023-11-15,14,0,18,684194019.4,35.0,9,6.0,2023-11-15 22:45:00
7742,2023-11-15,14,0,18,686098409.4,35.0,9,6.0,2023-11-15 22:45:00
9329,2023-11-15,15,0,18,164135970.0,25.0,16,2.0,2023-11-15 22:45:00
9359,2023-11-15,15,0,18,165527970.0,25.0,16,3.0,2023-11-15 22:45:00
9394,2023-11-15,15,0,18,195421170.0,30.0,21,1.0,2023-11-15 22:45:00
9395,2023-11-15,15,0,18,244160190.0,25.0,16,2.0,2023-11-15 22:45:00
9420,2023-11-15,15,0,18,246064580.0,25.0,16,3.0,2023-11-15 22:45:00
9450,2023-11-15,15,0,18,291108750.0,30.0,21,1.0,2023-11-15 22:45:00
9451,2023-11-15,15,0,18,452131650.0,35.0,1,7.0,2023-11-15 22:45:00
9452,2023-11-15,15,0,18,649906445.0,40.0,3,1.0,2023-11-15 22:45:00
9453,2023-11-15,15,0,18,684194019.4,35.0,9,7.0,2023-11-15 22:45:00
9454,2023-11-15,15,0,18,686098409.4,35.0,9,7.0,2023-11-15 22:45:00
13152,2023-11-15,16,0,18,164135970.0,25.0,16,1.0,2023-11-15 22:45:00
13182,2023-11-15,16,0,18,165527970.0,25.0,16,3.0,2023-11-15 22:45:00
13217,2023-11-15,16,0,18,195421170.0,30.0,21,1.0,2023-11-15 22:45:00
13218,2023-11-15,16,0,18,244160190.0,25.0,16,1.0,2023-11-15 22:45:00
13247,2023-11-15,16,0,18,246064580.0,25.0,16,3.0,2023-11-15 22:45:00
13281,2023-11-15,16,0,18,291108750.0,30.0,21,1.0,2023-11-15 22:45:00
13282,2023-11-15,16,0,18,338500932.6,25.0,16,2.0,2023-11-15 22:45:00
13283,2023-11-15,16,0,18,450739650.0,35.0,1,3.0,2023-11-15 22:45:00
13284,2023-11-15,16,0,18,452131650.0,35.0,1,7.0,2023-11-15 22:45:00
13285,2023-11-15,16,0,18,499608375.0,40.0,10,2.0,2023-11-15 22:45:00
13286,2023-11-15,16,0,18,649906445.0,40.0,3,1.0,2023-11-15 22:45:00
13287,2023-11-15,16,0,18,684194019.4,35.0,9,7.0,2023-11-15 22:45:00
13288,2023-11-15,16,0,18,686098409.4,35.0,9,7.0,2023-11-15 22:45:00
15697,2023-11-15,16,0,18,244160190.0,25.0,16,1.0,2023-11-15 22:45:00
15715,2023-11-15,16,0,18,246064580.0,25.0,16,3.0,2023-11-15 22:45:00
15735,2023-11-15,16,0,18,338500932.6,25.0,16,2.0,2023-11-15 22:45:00
15736,2023-11-15,16,0,18,499608375.0,40.0,10,2.0,2023-11-15 22:45:00
15737,2023-11-15,16,0,18,649906445.0,40.0,3,1.0,2023-11-15 22:45:00
15738,2023-11-15,16,0,18,684194019.4,35.0,9,7.0,2023-11-15 22:45:00
17336,2023-11-15,17,0,18,246064580.0,25.0,16,3.0,2023-11-15 22:45:00
17364,2023-11-15,17,0,18,338500932.6,25.0,16,2.0,2023-11-15 22:45:00
17365,2023-11-15,17,0,18,499608375.0,40.0,10,2.0,2023-11-15 22:45:00
17366,2023-11-15,17,0,18,649906445.0,40.0,3,1.0,2023-11-15 22:45:00
17367,2023-11-15,17,0,18,684194019.4,35.0,9,7.0,2023-11-15 22:45:00
485,2023-11-15,13,0,7,159087960.0,30.0,12,9.0,2023-11-15 23:40:00
3211,2023-11-15,13,0,7,159087960.0,30.0,12,9.0,2023-11-15 23:40:00
4909,2023-11-15,14,0,7,159087960.0,30.0,12,9.0,2023-11-15 23:40:00
4941,2023-11-15,14,0,7,213979160.0,30.0,1,9.0,2023-11-15 23:40:00
7537,2023-11-15,14,0,7,159087960.0,30.0,12,9.0,2023-11-15 23:40:00
7556,2023-11-15,14,0,7,213979160.0,30.0,1,9.0,2023-11-15 23:40:00
9101,2023-11-15,15,0,7,159087960.0,30.0,12,9.0,2023-11-15 23:40:00
9132,2023-11-15,15,0,7,213979160.0,30.0,1,9.0,2023-11-15 23:40:00
12900,2023-11-15,16,0,7,159087960.0,30.0,12,9.0,2023-11-15 23:40:00
12931,2023-11-15,16,0,7,213979160.0,30.0,1,9.0,2023-11-15 23:40:00
15512,2023-11-15,16,0,7,159087960.0,30.0,12,9.0,2023-11-15 23:40:00
15531,2023-11-15,16,0,7,213979160.0,30.0,1,9.0,2023-11-15 23:40:00
17040,2023-11-15,17,0,7,159087960.0,30.0,12,9.0,2023-11-15 23:40:00
17066,2023-11-15,17,0,7,213979160.0,30.0,1,9.0,2023-11-15 23:40:00
1358,2023-11-15,13,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
3712,2023-11-15,13,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
5749,2023-11-15,14,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
7970,2023-11-15,14,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
9867,2023-11-15,15,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
13717,2023-11-15,16,0,14,788097560.0,1.0,1,9.0,2023-11-16 02:25:00
13718,2023-11-15,16,0,14,1388834925.0,2.0,2,9.0,2023-11-16 02:25:00
15986,2023-11-15,16,0,14,788097560.0,1.0,1,9.0,2023-11-16 02:25:00
17750,2023-11-15,17,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
17756,2023-11-15,17,0,14,788097560.0,1.0,1,9.0,2023-11-16 02:25:00
19627,2023-11-15,17,0,14,788097560.0,1.0,1,9.0,2023-11-16 02:25:00
21587,2023-11-15,18,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
23864,2023-11-15,18,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
25784,2023-11-15,19,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
27967,2023-11-15,19,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
29889,2023-11-15,20,0,14,514539170.0,1.0,23,9.0,2023-11-16 02:25:00
970,2023-11-15,13,0,16,64452000.0,0.0,23,9.0,2023-11-16 04:15:00
983,2023-11-15,13,0,16,66608290.0,0.0,23,9.0,2023-11-16 04:15:00
1005,2023-11-15,13,0,16,72708000.0,20.0,23,9.0,2023-11-16 04:15:00
1017,2023-11-15,13,0,16,74797870.0,20.0,23,9.0,2023-11-16 04:15:00
3492,2023-11-15,13,0,16,64452000.0,0.0,23,9.0,2023-11-16 04:15:00
3500,2023-11-15,13,0,16,66608290.0,0.0,23,9.0,2023-11-16 04:15:00
3510,2023-11-15,13,0,16,72708000.0,20.0,23,9.0,2023-11-16 04:15:00
3517,2023-11-15,13,0,16,74797870.0,20.0,23,9.0,2023-11-16 04:15:00
5386,2023-11-15,14,0,16,64452000.0,0.0,23,1.0,2023-11-16 04:15:00
5387,2023-11-15,14,0,16,64452000.0,0.0,23,9.0,2023-11-16 04:15:00
5399,2023-11-15,14,0,16,66608290.0,0.0,23,1.0,2023-11-16 04:15:00
5400,2023-11-15,14,0,16,66608290.0,0.0,23,9.0,2023-11-16 04:15:00
5418,2023-11-15,14,0,16,72708000.0,20.0,23,1.0,2023-11-16 04:15:00
5419,2023-11-15,14,0,16,72708000.0,20.0,23,9.0,2023-11-16 04:15:00
5430,2023-11-15,14,0,16,74797870.0,20.0,23,1.0,2023-11-16 04:15:00
5431,2023-11-15,14,0,16,74797870.0,20.0,23,9.0,2023-11-16 04:15:00
5435,2023-11-15,14,0,16,85092000.0,0.0,28,1.0,2023-11-16 04:15:00
5436,2023-11-15,14,0,16,88103810.0,0.0,28,1.0,2023-11-16 04:15:00
5437,2023-11-15,14,0,16,93348000.0,20.0,28,1.0,2023-11-16 04:15:00
5438,2023-11-15,14,0,16,96293390.0,20.0,28,1.0,2023-11-16 04:15:00
7798,2023-11-15,14,0,16,64452000.0,0.0,23,1.0,2023-11-16 04:15:00
7801,2023-11-15,14,0,16,66608290.0,0.0,23,1.0,2023-11-16 04:15:00
7806,2023-11-15,14,0,16,72708000.0,20.0,23,1.0,2023-11-16 04:15:00
7808,2023-11-15,14,0,16,74797870.0,20.0,23,1.0,2023-11-16 04:15:00
9581,2023-11-15,15,0,16,85092000.0,0.0,28,1.0,2023-11-16 04:15:00
9582,2023-11-15,15,0,16,88103810.0,0.0,28,1.0,2023-11-16 04:15:00
9583,2023-11-15,15,0,16,93348000.0,20.0,28,1.0,2023-11-16 04:15:00
9584,2023-11-15,15,0,16,96293390.0,20.0,28,1.0,2023-11-16 04:15:00
9585,2023-11-15,15,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
9586,2023-11-15,15,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
9587,2023-11-15,15,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
9588,2023-11-15,15,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
11789,2023-11-15,15,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
11790,2023-11-15,15,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
11791,2023-11-15,15,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
11792,2023-11-15,15,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
13413,2023-11-15,16,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
13414,2023-11-15,16,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
13415,2023-11-15,16,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
13416,2023-11-15,16,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
15807,2023-11-15,16,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
15808,2023-11-15,16,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
15809,2023-11-15,16,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
15810,2023-11-15,16,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
17468,2023-11-15,17,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
17469,2023-11-15,17,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
17470,2023-11-15,17,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
17471,2023-11-15,17,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
17476,2023-11-15,17,0,16,184680000.0,0.0,12,1.0,2023-11-16 04:15:00
17477,2023-11-15,17,0,16,192398300.0,0.0,12,1.0,2023-11-16 04:15:00
17478,2023-11-15,17,0,16,192936000.0,20.0,12,1.0,2023-11-16 04:15:00
17479,2023-11-15,17,0,16,200587880.0,20.0,12,1.0,2023-11-16 04:15:00
19483,2023-11-15,17,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
19484,2023-11-15,17,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
19485,2023-11-15,17,0,16,184680000.0,0.0,12,1.0,2023-11-16 04:15:00
19486,2023-11-15,17,0,16,192936000.0,20.0,12,1.0,2023-11-16 04:15:00
21252,2023-11-15,18,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
21253,2023-11-15,18,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
21254,2023-11-15,18,0,16,129468000.0,20.0,26,1.0,2023-11-16 04:15:00
21255,2023-11-15,18,0,16,134222090.0,20.0,26,1.0,2023-11-16 04:15:00
21256,2023-11-15,18,0,16,184680000.0,0.0,12,1.0,2023-11-16 04:15:00
21257,2023-11-15,18,0,16,192398300.0,0.0,12,1.0,2023-11-16 04:15:00
21258,2023-11-15,18,0,16,192936000.0,20.0,12,1.0,2023-11-16 04:15:00
21259,2023-11-15,18,0,16,200587880.0,20.0,12,1.0,2023-11-16 04:15:00
23683,2023-11-15,18,0,16,121212000.0,0.0,26,1.0,2023-11-16 04:15:00
23684,2023-11-15,18,0,16,126032510.0,0.0,26,1.0,2023-11-16 04:15:00
